humidity,       temperature,    soil moisture,  rain fall,      ultra violet,   solar radiation, wind direction, wind speed,     rain rate,      
53.91,          45.51,          134.04,         108.33,         92.37,          150.98,         85.81,          26.45,          0.83,           
34.81,          15.63,          197.69,         73.12,          193.34,         144.37,         88.51,          97.2,           0.15,           
59.23,          35.43,          52.75,          165.65,         131.59,         184.2,          67.22,          87.16,          0.82,           
38.54,          63.34,          49.1,           120.73,         169.04,         70.98,          43.21,          22.63,          0.94,           
4.64,           62.03,          26.5,           194.96,         62.21,          27.99,          87.26,          33.8,           --,             
51.2,           19.31,          171.6,          26.23,          184.05,         183.94,         42.5,           53.65,          --,             
87.6,           47.94,          58.96,          87.7,           20.24,          56.88,          39.83,          49.21,          --,             
9.78,           33.55,          75.62,          42.19,          149.48,         169.73,         22.76,          32.7,           --,             
67.25,          51.59,          157.56,         15.59,          177.67,         57.56,          47.29,          54.44,          --,             
20.86,          15.69,          83.35,          51.01,          167.15,         178.38,         94.78,          39.07,          --,             
72.94,          17.64,          83.03,          167.21,         17.58,          130.55,         40.57,          13.99,          --,             
19.31,          56.82,          81.83,          29.23,          118.99,         136.78,         2.09,           95.83,          --,             
22.99,          30.68,          24.07,          87.63,          112.62,         29.4,           52.81,          91.13,          --,             
20.6,           59.51,          189.25,         84.57,          107.54,         97.23,          42.46,          2.31,           --,             
31.34,          56.11,          178.77,         113.96,         106.23,         74.23,          10.61,          5.78,           --,             
86.03,          52.17,          141.56,         131.16,         53.05,          127.85,         27.85,          94.58,          --,             
50.03,          39.19,          32.41,          190.21,         185.25,         20.95,          57.6,           74.31,          --,             
18.01,          11.49,          131.27,         59.79,          129.98,         139.25,         56.05,          38.03,          --,             
58.07,          14.99,          103.43,         69.89,          16.39,          118.04,         25.65,          87.86,          --,             
31.89,          11.95,          119.84,         178.85,         0.25,           6.34,           14.82,          17.56,          --,             
18.51,          51.38,          125.91,         79.42,          126.28,         159.88,         60.09,          62.67,          --,             
56.32,          54.47,          164.69,         43.87,          55.71,          119.78,         3.84,           49.43,          --,             
66.0,           18.44,          3.09,           63.69,          34.16,          158.53,         95.05,          10.31,          --,             
65.28,          17.67,          59.58,          15.92,          189.72,         36.61,          16.36,          64.95,          --,             
